date,searches1,searches2
2025-01-01,41,35
2025-01-02,46,42
2025-01-03,53,58
2025-01-04,54,47
2025-01-05,56,54
2025-01-06,55,30
2025-01-07,63,62
2025-01-08,58,70
2025-01-09,62,56
2025-01-10,60,69
2025-01-11,59,68
2025-01-12,53,49
2025-01-13,52,42
2025-01-14,57,53
2025-01-15,57,55
2025-01-16,52,43
2025-01-17,55,62
2025-01-18,44,47
2025-01-19,46,50
2025-01-20,49,54
2025-01-21,57,68
2025-01-22,51,47
2025-01-23,55,50
2025-01-24,47,51
2025-01-25,53,55
2025-01-26,52,60
2025-01-27,52,45
2025-01-28,55,50
2025-01-29,58,50
2025-01-30,53,50
2025-01-31,55,38
2025-02-01,52,50
2025-02-02,50,60
2025-02-03,56,44
2025-02-04,60,28
2025-02-05,53,34
2025-02-06,52,37
2025-02-07,52,43
2025-02-08,40,32
2025-02-09,48,31
2025-02-10,52,43
2025-02-11,49,37
2025-02-12,53,43
2025-02-13,49,34
2025-02-14,44,45
2025-02-15,68,80
2025-02-16,72,68
2025-02-17,100,80
2025-02-18,97,100
2025-02-19,89,88
2025-02-20,92,92
2025-02-21,83,82
2025-02-22,81,80
2025-02-23,73,73
2025-02-24,87,82
2025-02-25,76,70
2025-02-26,82,66
2025-02-27,86,80
2025-02-28,72,84
2025-03-01,67,78
2025-03-02,63,59
2025-03-03,68,62
2025-03-04,62,49
2025-03-05,54,42
2025-03-06,58,52
2025-03-07,55,38
2025-03-08,57,48
2025-03-09,46,47
2025-03-10,53,29
2025-03-11,50,51
2025-03-12,55,39
2025-03-13,54,36
2025-03-14,47,44
2025-03-15,44,47
2025-03-16,42,38
2025-03-17,43,35
2025-03-18,40,46
2025-03-19,47,42
2025-03-20,44,29
2025-03-21,38,33
2025-03-22,42,51
2025-03-23,38,32
2025-03-24,45,39
2025-03-25,45,34
2025-03-26,38,37
2025-03-27,45,42
2025-03-28,35,27
2025-03-29,32,26
2025-03-30,28,21
2025-03-31,40,36
2025-04-01,38,35
2025-04-02,41,36
2025-04-03,38,30
2025-04-04,34,31
2025-04-05,36,37
2025-04-06,33,37
2025-04-07,32,24
2025-04-08,34,36
2025-04-09,31,27
2025-04-10,34,30
2025-04-11,30,30
2025-04-12,29,28
2025-04-13,29,36
2025-04-14,29,27
2025-04-15,26,19
2025-04-16,22,19
2025-04-17,27,30
2025-04-18,16,0
2025-04-19,22,20
2025-04-20,20,24
2025-04-21,26,19
2025-04-22,25,20
2025-04-23,24,14
2025-04-24,26,29
2025-04-25,24,17
2025-04-26,23,0
2025-04-27,27,23
2025-04-28,31,30
2025-04-29,27,24
2025-04-30,22,19
2025-05-01,25,24
2025-05-02,28,22
2025-05-03,24,15
2025-05-04,25,28
2025-05-05,24,17
2025-05-06,24,15
2025-05-07,24,18
2025-05-08,23,16
2025-05-09,22,16
2025-05-10,21,16
2025-05-11,17,14
2025-05-12,15,13
2025-05-13,20,15
2025-05-14,23,18
2025-05-15,23,16
2025-05-16,22,17
2025-05-17,20,15
2025-05-18,21,18
2025-05-19,23,17
